company_name,company_url,person_id,name,title,department,linkedin_url,bio,image_url,profile_url
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565440,Lauren Harrison,Associate Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/7775e500-9729-4c3f-bb2d-7caeb9dcfad7/original.jpeg,https://careers.nudge-global.com/people/3565440-lauren-harrison
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565361,Lisa Yan,Associate Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/1040a27e-0867-4a21-bde0-2bcf987d67a9/original.jpeg,https://careers.nudge-global.com/people/3565361-lisa-yan
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565282,Noah Parfitt,Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/0c5a046f-1faa-4ea4-9086-d6a3c999e350/original.jpeg,https://careers.nudge-global.com/people/3565282-noah-parfitt
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565281,Ollie Cargill,Solutions Architect,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/a0f1fe8f-2c76-4b38-8097-23a43aec9f58/original.jpeg,https://careers.nudge-global.com/people/3565281-ollie-cargill
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565370,Reece King,Consultant,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/11c25259-85f5-4d3c-adb6-9cf1c8a0cdfe/original.jpeg,https://careers.nudge-global.com/people/3565370-reece-king
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3565199,Ross Harris,Director of Professional Services,Professional Services,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/12698100-c354-4ed1-8e66-6fe85f8a5222/original.jpeg,https://careers.nudge-global.com/people/3565199-ross-harris
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3450546,Angus Cheetham,Account Executive,Sales,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/269c2cfd-f5b9-4de6-8dcf-e12ecaf558b2/original.jpeg,https://careers.nudge-global.com/people/3450546-angus-cheetham
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3450544,Ben Sutton,Associate,Sales,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/f0475c34-54c9-4f57-be3d-9c3e85c20bc7/original.jpeg,https://careers.nudge-global.com/people/3450544-ben-sutton
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3450699,Chris Wakely,CRO,Sales,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/4474cbbe-9cfa-4f52-9f98-05335e56093c/original.jpeg,https://careers.nudge-global.com/people/3450699-chris-wakely
Nudge 1724058604,https://nudge-1724058604.teamtailor.com,3369423,Jacqui Bijoux,Sales Manager,Sales,https://www.linkedin.com/products/nudge-global-ltd-nudge-global/,,https://images.teamtailor-cdn.com/images/s3/teamtailor-production/square_226-v4/image_uploads/eaa8f74f-b3cd-4323-81ca-82de71d87a7d/original.jpeg,https://careers.nudge-global.com/people/3369423-jacqui-bijoux
